Date,Lead Source,Count of Leads,Cost per Lead
12/10/2025,Internet Lead - Provider A,7,14
12/10/2025,Internet Lead - Provider B,3,12
12/10/2025,StateFarm.com,1,0
12/16/2025,Internet Lead - Provider A,1,14
12/16/2025,Internet Lead - Provider B,1,12
12/16/2025,StateFarm.com,1,0
12/17/2025,Internet Lead - Provider A,4,14
12/17/2025,Internet Lead - Provider B,6,12
12/17/2025,StateFarm.com,2,0
12/18/2025,Internet Lead - Provider A,3,14
12/18/2025,Internet Lead - Provider B,2,12
12/18/2025,StateFarm.com,1,0
12/19/2025,Internet Lead - Provider A,10,14
12/19/2025,Internet Lead - Provider B,10,12
12/19/2025,StateFarm.com,2,0
